review_id,review,identified_themes_str,bank,rating,date,source,sentiment_label,sentiment_score
10,"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",Account Access Issues,CBE Mobile Banking,1,2025-02-15,Google Play,NEGATIVE,0.9966446161270142
11,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,User Interface & Experience,CBE Mobile Banking,1,2025-03-26,Google Play,NEGATIVE,0.9995493292808532
12,"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).","Transaction Performance, User Interface & Experience",CBE Mobile Banking,1,2025-03-27,Google Play,NEGATIVE,0.9977697134017944
13,"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",Transaction Performance,CBE Mobile Banking,3,2025-03-30,Google Play,NEGATIVE,0.994558334350586
14,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back","Feature Requests, User Interface & Experience",CBE Mobile Banking,3,2025-04-18,Google Play,NEGATIVE,0.9861215949058532
15,"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",Account Access Issues,CBE Mobile Banking,1,2025-01-29,Google Play,NEGATIVE,0.9523299336433412
16,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!","Transaction Performance, Account Access Issues",CBE Mobile Banking,4,2025-04-01,Google Play,POSITIVE,0.9895473718643188
17,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,Account Access Issues,CBE Mobile Banking,4,2025-05-13,Google Play,NEGATIVE,0.9474119544029236
18,"In the previous, I gave 4 🌟 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.",Feature Requests,CBE Mobile Banking,5,2024-12-20,Google Play,NEGATIVE,0.9971532821655272
19,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",Account Access Issues,CBE Mobile Banking,1,2025-04-02,Google Play,NEGATIVE,0.9986600875854492
20,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,"Transaction Performance, User Interface & Experience",CBE Mobile Banking,3,2025-04-04,Google Play,NEGATIVE,0.9973511695861816
21,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,2,2025-04-21,Google Play,NEGATIVE,0.9995972514152528
22,What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,User Interface & Experience,CBE Mobile Banking,1,2025-03-21,Google Play,POSITIVE,0.9841668605804444
23,Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,Feature Requests,CBE Mobile Banking,3,2025-03-25,Google Play,NEGATIVE,0.995722770690918
24,"The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work.","Feature Requests, User Interface & Experience",CBE Mobile Banking,3,2025-01-01,Google Play,NEGATIVE,0.9997578263282776
25,"The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars .",Transaction Performance,CBE Mobile Banking,3,2024-12-30,Google Play,NEGATIVE,0.993030846118927
26,"First this app was pretty good and well connection while transferring money, but now there's no such a worst mob app ever while transferring money it corrupts due to the network and took the amount of money you were transferring from your account then after seconds interruptions it's shows that the money is transferred (this case happens especially to telebirrr wallet) then after you report the issue to the CBE customer service they refund your money to your CBE account after 3-5 days.","Customer Support, Account Access Issues",CBE Mobile Banking,2,2025-01-09,Google Play,NEGATIVE,0.9965466856956482
27,Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,"Feature Requests, User Interface & Experience",CBE Mobile Banking,1,2025-03-06,Google Play,NEGATIVE,0.8035405278205872
28,Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,Transaction Performance,CBE Mobile Banking,5,2025-03-31,Google Play,NEGATIVE,0.9962796568870544
29,"The app is full of bugs here and there, perhaps it's from the backend side idk. For instance the transaction history you see on top is one made a couple of months ago and you have to refresh until you reach the top. it's just so bizarre. And you can't even search for a transaction you made. Someone with a lot of transactions will find it annoying. Even simple things like localising dates to Amharic dates are now correctly implemented.",Transaction Performance,CBE Mobile Banking,2,2025-02-25,Google Play,NEGATIVE,0.9962574243545532
30,It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,Transaction Performance,CBE Mobile Banking,5,2025-04-03,Google Play,POSITIVE,0.9997400641441344
31,It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,"Transaction Performance, User Interface & Experience",CBE Mobile Banking,1,2025-01-31,Google Play,NEGATIVE,0.9970723390579224
32,I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,Feature Requests,CBE Mobile Banking,1,2025-03-22,Google Play,NEGATIVE,0.9993658661842346
33,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,General Feedback,CBE Mobile Banking,2,2025-06-04,Google Play,NEGATIVE,0.998119294643402
34,Its good but we need an option of choosing a specific period to get a historique of transactions. For example when i want to check my previous transactions i only get few transactions. Thank you.,"Feature Requests, Transaction Performance",CBE Mobile Banking,2,2025-01-30,Google Play,POSITIVE,0.8520457148551941
35,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,General Feedback,CBE Mobile Banking,1,2025-05-17,Google Play,NEGATIVE,0.9996201992034912
36,"As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy.",Account Access Issues,CBE Mobile Banking,2,2024-12-31,Google Play,NEGATIVE,0.9983273148536682
37,it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,General Feedback,CBE Mobile Banking,4,2025-03-31,Google Play,NEGATIVE,0.915197491645813
38,Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,"Transaction Performance, Account Access Issues",CBE Mobile Banking,1,2025-03-26,Google Play,NEGATIVE,0.9995678067207336
39,"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",Transaction Performance,CBE Mobile Banking,5,2025-03-29,Google Play,NEGATIVE,0.9912715554237366
40,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,General Feedback,CBE Mobile Banking,1,2025-05-05,Google Play,NEGATIVE,0.9975224137306212
41,well designed! Fixing bugs & two step verification with biometric... simply it's great!,General Feedback,CBE Mobile Banking,5,2025-05-06,Google Play,POSITIVE,0.99980491399765
42,"I have seen lots of great updates right here, especially the 2FA using the biometric security technique, I suggest you work on minimising app crashing due to the accumulation of cache, very little cache crash it.",User Interface & Experience,CBE Mobile Banking,4,2025-02-03,Google Play,POSITIVE,0.8294106721878052
43,"Add customer service please other than calling 951. Why would you have a mobile app but not an online text-based customer service? Why? Disappointing And I will never use the top-up feature again, I have been trying to recharge my safaricom balance but your app would say time out and then credit my account but never recharge my balance, why? Where is my money? Do you expect me to call 951 at midnight?","Feature Requests, Customer Support, Account Access Issues",CBE Mobile Banking,2,2025-02-08,Google Play,NEGATIVE,0.9992187023162842
44,"Why on earth is CBE telling me to turn off developer mode? As the name clearly states, it's for developers, not for CBE to dictate. There are countless financial apps out there that work just fine without demanding such an unnecessary restriction. If your app can’t handle developer mode, that’s a you problem. Fix your code instead of disabling features that have absolutely nothing to do with you.",General Feedback,CBE Mobile Banking,2,2025-01-25,Google Play,NEGATIVE,0.5818902850151062
45,"I really like this app as it is being updated from time to time and includes multiple payment options. In particular, giving a receipt makes it even more preferable. However, when it is refreshed, it does not show the history of credit and deposit in order and, I am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is a problem of confusion.",Transaction Performance,CBE Mobile Banking,3,2024-09-12,Google Play,NEGATIVE,0.9586424827575684
46,"The previous version is much better than this one. I used it for more than six years without any problem. But now I'm having a serious trouble with the updated app. I don't know why it takes him forever to refresh and load the home page once you sign in. And if it fails to load, it never recovers. I only see some UI changes. Really disappointed",User Interface & Experience,CBE Mobile Banking,2,2021-01-01,Google Play,NEGATIVE,0.9991132616996764
47,"I like the application very much because it is user friendly and makes transactions easiest, especially for business matters. But, these few days I faced difficulties of opening it. I tried to uninstall and re install the app, and re verified at the nearest cbe center. But still failed to use all the functions. It says 'none available'. Any suggestions please!","Transaction Performance, User Interface & Experience",CBE Mobile Banking,3,2023-06-05,Google Play,NEGATIVE,0.9994332194328308
48,"Most of the time, in the 'Recents' button the app becomes stuck and doesn't show up details of transactions and doesn't even scroll down; should be solved. Second, the app doesn't save the last pop-up screen when a transaction is complete. Third, there is no telebirr transfer to other person option and the app by default lets you to only own telebirr transfer.","Feature Requests, Transaction Performance",CBE Mobile Banking,4,2022-10-06,Google Play,NEGATIVE,0.999429166316986
49,"It's a great app. I've been using this app since the bank launched it. As a long-term user, I would like to point out things that need to be improved. 1. Deleting money transfer history should be the user's choice. 2. There should be an option to download an in-depth transfer history for each transfer activity , just as there is posiblity to download a single time transfer recit. Do that and get 5 star.","Feature Requests, Transaction Performance",CBE Mobile Banking,3,2022-03-18,Google Play,POSITIVE,0.778118371963501
50,"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues","Transaction Performance, Account Access Issues",CBE Mobile Banking,1,2024-08-25,Google Play,NEGATIVE,0.9991637468338012
51,1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,Account Access Issues,CBE Mobile Banking,1,2025-02-26,Google Play,NEGATIVE,0.999330759048462
52,"My experience with this app has been outstanding so far,but sometimes it has a hard time connecting with network and makes it hard to make transactions. Apart from that it's amazing.",Transaction Performance,CBE Mobile Banking,4,2024-12-17,Google Play,POSITIVE,0.9803682565689088
53,"I have been using this app for almost four years now. In the beginning, it was working fine. Sometime later, it gets difficult to create a connection to my account, and could not manage to make and see transactions on my account. After updating it lately, Jul 2020, I was glad this app came with some user interface improvements, and the connection was quite fast. Not longer than two weeks, the app starts to get stuck, and it cannot even show me the UI properly. As a result, I have a useless app on my cell phone, hoping that [you] will soon come with updates.","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,2,2020-09-03,Google Play,NEGATIVE,0.9995779395103456
54,"Application UI and new features are better than the previous version. I found a minor bugs though. I couldn't transfer to an account from the beneficiary list, it says None Available; There is still so much to do with the localization; Instead of ሰኔ it says ጁን and more like this; date conversion is missing also. If this minor things are fixed it will be much better.","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,3,2020-11-05,Google Play,NEGATIVE,0.9995701909065248
55,"It is a good and progressive app through the updates. I think the app should further solve its bugs like 1. It doesn't download or share attachment on android 12 and 11, it used to work on android 10. 2. Sometimes transactions seem like they have failed and there are no records, but the transactions actually have passed this is a very serious issue, because people will try the transaction again which will end up doubling the payment.",Transaction Performance,CBE Mobile Banking,4,2022-09-15,Google Play,POSITIVE,0.5521472096443176
56,"With each update the app is getting slower and slower, specially when requesting transaction history. And I wish the logging process could be done easily. When someone changes a phone, it makes it mandatory to consult the branch and that makes it not to be self assisted. Hope you could fix it. Please add an option of transferring to other TeleBirr numbers other than the ""Own telebirr"" option. It id very limiting now a days","Feature Requests, Customer Support, Transaction Performance, User Interface & Experience",CBE Mobile Banking,4,2023-08-11,Google Play,NEGATIVE,0.9929895401000975
57,"Absolutely the best app! It works flawlessly, anytime and anywhere.",General Feedback,CBE Mobile Banking,5,2025-04-17,Google Play,POSITIVE,0.9998784065246582
58,"The CBE mobile banking app is a time-saver, but it needs several improvements, like adding fingerprint authentication. It's risky when people see me entering my PIN. Additionally, the fees are unreasonable. You could learn from Tele Birr, which adjusts fees based on the transaction amount. However, the CBEMB app charges a flat 10 birr fee for amounts between 5 and 1000 birr, which I think is unfair.","Feature Requests, Transaction Performance",CBE Mobile Banking,2,2024-09-04,Google Play,NEGATIVE,0.9991649389266968
59,I liked this app. But the User interface is very basic and not attractive at all.,User Interface & Experience,CBE Mobile Banking,2,2025-06-07,Google Play,NEGATIVE,0.9996840953826904
60,"The app is awesome. But there are many things to highlight.For example, When spending money from the account , a confirmation text message must be sent to the account holder. Also the fact that, the PIN is only four digits is not safe enough for security, if it is more than eight digits and includes numbers and symbols, it will be cool.",Account Access Issues,CBE Mobile Banking,3,2023-01-29,Google Play,POSITIVE,0.645922839641571
61,"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",User Interface & Experience,CBE Mobile Banking,1,2024-08-27,Google Play,NEGATIVE,0.9995390176773072
62,Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,User Interface & Experience,CBE Mobile Banking,4,2025-03-31,Google Play,NEGATIVE,0.9968405961990356
63,Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,User Interface & Experience,CBE Mobile Banking,1,2025-03-10,Google Play,NEGATIVE,0.9992684721946716
64,"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",General Feedback,CBE Mobile Banking,3,2025-03-14,Google Play,NEGATIVE,0.999236822128296
65,"The good thing is its simplicity to undertake the basic functions. Updates with improvements and fixes should have been released by now. Please fix. 5 years after last review… Issues with beneficiary are fixed. However, still unable to track transactions much less to download in appropriate formats. This feature got diminished in the latest update. Please improve and fix.","Transaction Performance, User Interface & Experience",CBE Mobile Banking,3,2023-03-15,Google Play,NEGATIVE,0.9920572638511658
66,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",Customer Support,CBE Mobile Banking,5,2025-05-25,Google Play,POSITIVE,0.9998852014541626
67,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",Account Access Issues,CBE Mobile Banking,3,2025-05-11,Google Play,NEGATIVE,0.9986681938171388
68,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,General Feedback,CBE Mobile Banking,5,2025-05-13,Google Play,NEGATIVE,0.992915153503418
69,"Very good app, but please make it reliable . it crashes sometimes .",General Feedback,CBE Mobile Banking,4,2025-05-22,Google Play,POSITIVE,0.964985489845276
70,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",General Feedback,CBE Mobile Banking,4,2025-05-22,Google Play,NEGATIVE,0.9966771602630616
71,it is smart app but it has stoped after some period of time on my device with out any reason .,General Feedback,CBE Mobile Banking,5,2025-05-25,Google Play,NEGATIVE,0.9961044788360596
72,nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,General Feedback,CBE Mobile Banking,4,2025-04-05,Google Play,NEGATIVE,0.9551452398300172
73,The updated app is attractive and is working very well. Forced to revise my previous rating of 2 star to 4 star. Hope it will keep on working! Rated it excellent for the past years. Revised my review after it keeps on crashing in 2019 and installing it for a second time in less than 3 months. Please work on the problems.,General Feedback,CBE Mobile Banking,4,2020-07-25,Google Play,POSITIVE,0.99917870759964
74,"I really love this app,it is amazing. It is more flexible than any other banks app. The only and main problem that I encountered with this app is,if it is uninstalled from this devices, I have to go to the bank and mostly the specific barank the account is opened to reconfigur again. This is very unpractical in most cases,since people are traveling and very busy in their day to day activities. Kindly consider to change this option.","Feature Requests, Account Access Issues",CBE Mobile Banking,5,2023-09-11,Google Play,POSITIVE,0.98700213432312
75,"I have been using this app for more than a year it came with best version, but now after the last update it's not working well as before. It can't sync, the connection is not working at all. I can't see recent transactions and make any transfer , all the features are not working, I hope you will come with a better update soon.","Transaction Performance, User Interface & Experience",CBE Mobile Banking,2,2020-09-12,Google Play,NEGATIVE,0.999546468257904
76,"In fact, it's a good app to make our daily life easier! However, I have encountered several times issues with this app. 1. It's not always working with network error, even though the network is good on my phone. 2. It happened to me several times that when I transfer money to someone's account, I doubled the transfer! Or in another word, my money sent two times. If I wanted to send 10,000, I found that sent 20,000 because of the APP error. I hope this will be fixed soon.","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,1,2023-09-04,Google Play,NEGATIVE,0.9935617446899414
77,there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,User Interface & Experience,CBE Mobile Banking,2,2025-03-24,Google Play,NEGATIVE,0.9997902512550354
78,"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",Transaction Performance,CBE Mobile Banking,1,2025-03-26,Google Play,NEGATIVE,0.9996533393859864
79,Since last week this app has started not working. It simply log in without network but can't sync. Please fix it.,General Feedback,CBE Mobile Banking,5,2025-03-21,Google Play,NEGATIVE,0.999341070652008
80,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,"Feature Requests, Transaction Performance",CBE Mobile Banking,4,2025-05-02,Google Play,NEGATIVE,0.9982808828353882
81,its great app but when updating we can't take screen shot please try to fix it,General Feedback,CBE Mobile Banking,3,2025-04-10,Google Play,NEGATIVE,0.9934490323066713
82,"URGENT FIX REQUIRED!!! The app does not work anymore! Account balance is not displayed. Trying to use any service on the app shows error ""None available"". What is the point of an internet/mobile banking app if you cannot carry out banking services from your fingertips? I also don't want to reinstall because CBE activation code can only be recieved in the bank, which sounds very ridiculous. These days, banks send OTP to email, so customers can manage their account anywhere in the world.","Transaction Performance, Account Access Issues, User Interface & Experience",CBE Mobile Banking,1,2023-12-26,Google Play,NEGATIVE,0.9997559189796448
83,"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",Transaction Performance,CBE Mobile Banking,1,2025-01-01,Google Play,NEGATIVE,0.9995642304420472
84,some times it is difficult to get reciepts for the payment made,"Transaction Performance, User Interface & Experience",CBE Mobile Banking,1,2025-03-23,Google Play,NEGATIVE,0.9993370175361632
85,the worst commercial company that fails to do even the most normal things again and and again.,General Feedback,CBE Mobile Banking,1,2025-05-03,Google Play,NEGATIVE,0.9997990727424622
86,"I can simply describe this app as ""Making all your work easier"".",General Feedback,CBE Mobile Banking,5,2025-04-28,Google Play,POSITIVE,0.8382578492164612
87,"In the updated version of the app, it takes more time to download the receipt.",General Feedback,CBE Mobile Banking,3,2025-04-15,Google Play,NEGATIVE,0.9985652565956116
88,In the lasted update you removed the capability to screenshot transactions.,"Transaction Performance, User Interface & Experience",CBE Mobile Banking,3,2025-03-21,Google Play,NEGATIVE,0.998357355594635
89,"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",Account Access Issues,CBE Mobile Banking,4,2025-04-01,Google Play,NEGATIVE,0.9585952758789062
90,"Sometimes it brings a contradicting notifications. First I saw an internet poll form. After I filled it, another message comes that advises users not fill any forms sent or bank did not send such documents. Sometimes the app gets stack without any prior notices. It happened quite numerical times with me. Otherwise great app. I think a followup maintenance and improvements needed",Transaction Performance,CBE Mobile Banking,3,2024-03-09,Google Play,NEGATIVE,0.8952963352203369
91,"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",Transaction Performance,CBE Mobile Banking,1,2025-02-07,Google Play,NEGATIVE,0.9991911053657532
92,"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",Transaction Performance,CBE Mobile Banking,1,2024-12-19,Google Play,NEGATIVE,0.999106466770172
93,Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,Transaction Performance,CBE Mobile Banking,1,2025-02-07,Google Play,NEGATIVE,0.99915611743927
94,"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",User Interface & Experience,CBE Mobile Banking,1,2025-01-21,Google Play,NEGATIVE,0.9979910850524902
95,I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,General Feedback,CBE Mobile Banking,2,2025-01-06,Google Play,NEGATIVE,0.9996905326843262
96,The apk doesn't work when the phones developer option is turned on. It always asks me to turn off the developer options to open the apk. Please fix it as it is unnecessary.,Feature Requests,CBE Mobile Banking,4,2025-01-26,Google Play,NEGATIVE,0.9993588328361512
97,"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",General Feedback,CBE Mobile Banking,1,2025-01-01,Google Play,NEGATIVE,0.9998024106025696
98,Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,"Feature Requests, User Interface & Experience",CBE Mobile Banking,1,2025-01-01,Google Play,NEGATIVE,0.9998212456703186
99,The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,Transaction Performance,CBE Mobile Banking,1,2025-02-04,Google Play,NEGATIVE,0.999722182750702
100,"It's very good app for transactions, to give you 5star one more thing you need to do is include bank statement showing methods. And one more thing after you take your commission why you take 5birr monthly without my confirmation?",Transaction Performance,CBE Mobile Banking,4,2024-12-16,Google Play,POSITIVE,0.9873142838478088
101,It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,User Interface & Experience,CBE Mobile Banking,1,2025-02-11,Google Play,NEGATIVE,0.9991856217384338
102,The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,User Interface & Experience,CBE Mobile Banking,1,2025-01-17,Google Play,POSITIVE,0.7807751297950745
