bank,review_length,rating
CBE Mobile Banking,56,1
CBE Mobile Banking,328,1
CBE Mobile Banking,51,5
CBE Mobile Banking,30,2
CBE Mobile Banking,198,3
CBE Mobile Banking,42,3
CBE Mobile Banking,499,2
CBE Mobile Banking,77,1
CBE Mobile Banking,182,4
CBE Mobile Banking,186,4
CBE Mobile Banking,60,4
CBE Mobile Banking,236,4
CBE Mobile Banking,220,4
CBE Mobile Banking,226,1
CBE Mobile Banking,236,4
CBE Mobile Banking,150,1
CBE Mobile Banking,91,1
CBE Mobile Banking,114,1
CBE Mobile Banking,113,1
CBE Mobile Banking,69,5
CBE Mobile Banking,126,3
CBE Mobile Banking,109,1
CBE Mobile Banking,213,1
CBE Mobile Banking,103,1
CBE Mobile Banking,129,1
CBE Mobile Banking,86,4
CBE Mobile Banking,99,1
CBE Mobile Banking,109,1
CBE Mobile Banking,80,1
CBE Mobile Banking,70,5
CBE Mobile Banking,82,2
CBE Mobile Banking,76,4
CBE Mobile Banking,76,1
CBE Mobile Banking,146,1
CBE Mobile Banking,48,1
CBE Mobile Banking,169,5
CBE Mobile Banking,59,1
CBE Mobile Banking,130,2
CBE Mobile Banking,92,1
CBE Mobile Banking,91,5
CBE Mobile Banking,85,2
CBE Mobile Banking,81,2
CBE Mobile Banking,74,1
CBE Mobile Banking,498,5
CBE Mobile Banking,79,4
CBE Mobile Banking,55,4
CBE Mobile Banking,110,1
CBE Mobile Banking,200,4
CBE Mobile Banking,290,1
CBE Mobile Banking,286,4
CBE Mobile Banking,250,4
CBE Mobile Banking,187,1
CBE Mobile Banking,194,1
CBE Mobile Banking,177,4
CBE Mobile Banking,281,3
CBE Mobile Banking,26,5
CBE Mobile Banking,207,4
CBE Mobile Banking,200,3
CBE Mobile Banking,184,1
CBE Mobile Banking,179,1
CBE Mobile Banking,195,3
CBE Mobile Banking,263,4
CBE Mobile Banking,317,4
CBE Mobile Banking,283,1
CBE Mobile Banking,40,5
CBE Mobile Banking,194,3
CBE Mobile Banking,176,1
CBE Mobile Banking,61,5
CBE Mobile Banking,67,5
CBE Mobile Banking,160,5
CBE Mobile Banking,381,1
CBE Mobile Banking,233,1
CBE Mobile Banking,87,5
CBE Mobile Banking,318,1
CBE Mobile Banking,162,4
CBE Mobile Banking,499,1
CBE Mobile Banking,31,4
CBE Mobile Banking,265,3
CBE Mobile Banking,225,3
CBE Mobile Banking,239,4
CBE Mobile Banking,483,1
CBE Mobile Banking,58,1
CBE Mobile Banking,165,3
CBE Mobile Banking,119,5
CBE Mobile Banking,267,1
CBE Mobile Banking,219,4
CBE Mobile Banking,187,3
CBE Mobile Banking,165,3
CBE Mobile Banking,190,3
CBE Mobile Banking,453,5
CBE Mobile Banking,57,1
CBE Mobile Banking,222,2
CBE Mobile Banking,39,5
CBE Mobile Banking,81,5
CBE Mobile Banking,221,1
CBE Mobile Banking,196,3
CBE Mobile Banking,63,4
CBE Mobile Banking,106,1
CBE Mobile Banking,21,4
CBE Mobile Banking,38,5
CBE Mobile Banking,145,1
CBE Mobile Banking,134,3
CBE Mobile Banking,71,5
CBE Mobile Banking,20,5
CBE Mobile Banking,54,5
CBE Mobile Banking,46,3
CBE Mobile Banking,42,4
CBE Mobile Banking,106,1
CBE Mobile Banking,166,1
CBE Mobile Banking,199,1
CBE Mobile Banking,212,4
CBE Mobile Banking,185,5
CBE Mobile Banking,139,4
CBE Mobile Banking,98,3
CBE Mobile Banking,113,5
CBE Mobile Banking,209,3
CBE Mobile Banking,142,1
CBE Mobile Banking,167,4
CBE Mobile Banking,57,5
CBE Mobile Banking,166,3
CBE Mobile Banking,76,1
CBE Mobile Banking,124,5
CBE Mobile Banking,156,3
CBE Mobile Banking,195,4
CBE Mobile Banking,156,4
CBE Mobile Banking,108,3
CBE Mobile Banking,127,3
CBE Mobile Banking,140,1
CBE Mobile Banking,169,3
CBE Mobile Banking,182,1
CBE Mobile Banking,386,1
CBE Mobile Banking,116,4
CBE Mobile Banking,211,5
CBE Mobile Banking,126,1
CBE Mobile Banking,211,3
CBE Mobile Banking,212,4
CBE Mobile Banking,146,3
CBE Mobile Banking,203,5
CBE Mobile Banking,276,4
CBE Mobile Banking,130,1
CBE Mobile Banking,498,1
CBE Mobile Banking,173,5
CBE Mobile Banking,272,1
CBE Mobile Banking,172,1
CBE Mobile Banking,194,4
CBE Mobile Banking,250,4
CBE Mobile Banking,217,1
CBE Mobile Banking,249,2
CBE Mobile Banking,159,2
CBE Mobile Banking,169,1
CBE Mobile Banking,134,1
CBE Mobile Banking,325,3
CBE Mobile Banking,499,5
CBE Mobile Banking,281,1
CBE Mobile Banking,196,1
CBE Mobile Banking,316,1
CBE Mobile Banking,218,2
CBE Mobile Banking,186,4
CBE Mobile Banking,162,1
CBE Mobile Banking,122,4
CBE Mobile Banking,413,1
CBE Mobile Banking,132,3
CBE Mobile Banking,168,1
CBE Mobile Banking,250,2
CBE Mobile Banking,202,1
CBE Mobile Banking,182,4
CBE Mobile Banking,236,1
CBE Mobile Banking,201,1
CBE Mobile Banking,271,1
CBE Mobile Banking,182,1
CBE Mobile Banking,105,4
CBE Mobile Banking,165,4
CBE Mobile Banking,135,5
CBE Mobile Banking,184,4
CBE Mobile Banking,128,5
CBE Mobile Banking,173,1
CBE Mobile Banking,267,1
CBE Mobile Banking,192,2
CBE Mobile Banking,162,4
CBE Mobile Banking,182,4
CBE Mobile Banking,156,2
CBE Mobile Banking,162,1
CBE Mobile Banking,224,4
CBE Mobile Banking,167,5
CBE Mobile Banking,239,1
CBE Mobile Banking,107,5
CBE Mobile Banking,198,4
CBE Mobile Banking,163,1
CBE Mobile Banking,145,4
CBE Mobile Banking,153,1
CBE Mobile Banking,456,1
CBE Mobile Banking,132,5
CBE Mobile Banking,299,5
CBE Mobile Banking,158,1
CBE Mobile Banking,232,5
CBE Mobile Banking,279,1
CBE Mobile Banking,181,1
CBE Mobile Banking,153,4
CBE Mobile Banking,96,1
CBE Mobile Banking,148,2
CBE Mobile Banking,461,1
CBE Mobile Banking,234,4
CBE Mobile Banking,157,1
CBE Mobile Banking,141,3
CBE Mobile Banking,136,1
CBE Mobile Banking,189,2
CBE Mobile Banking,299,1
CBE Mobile Banking,306,1
CBE Mobile Banking,151,2
CBE Mobile Banking,216,1
CBE Mobile Banking,341,1
CBE Mobile Banking,206,3
CBE Mobile Banking,150,1
CBE Mobile Banking,153,1
CBE Mobile Banking,199,1
CBE Mobile Banking,140,1
CBE Mobile Banking,91,2
CBE Mobile Banking,181,3
CBE Mobile Banking,122,5
CBE Mobile Banking,228,5
CBE Mobile Banking,218,5
CBE Mobile Banking,168,3
CBE Mobile Banking,150,3
CBE Mobile Banking,116,2
CBE Mobile Banking,200,5
CBE Mobile Banking,157,5
CBE Mobile Banking,193,5
CBE Mobile Banking,82,2
CBE Mobile Banking,121,3
CBE Mobile Banking,156,5
CBE Mobile Banking,229,1
CBE Mobile Banking,175,4
CBE Mobile Banking,133,3
CBE Mobile Banking,271,1
CBE Mobile Banking,242,3
CBE Mobile Banking,305,1
CBE Mobile Banking,147,4
CBE Mobile Banking,157,1
CBE Mobile Banking,92,3
CBE Mobile Banking,103,5
CBE Mobile Banking,205,1
CBE Mobile Banking,118,3
CBE Mobile Banking,161,5
CBE Mobile Banking,114,4
CBE Mobile Banking,129,2
CBE Mobile Banking,119,2
CBE Mobile Banking,261,3
CBE Mobile Banking,145,5
CBE Mobile Banking,146,3
CBE Mobile Banking,134,4
CBE Mobile Banking,145,3
CBE Mobile Banking,198,3
CBE Mobile Banking,104,5
CBE Mobile Banking,113,1
CBE Mobile Banking,217,1
CBE Mobile Banking,286,1
CBE Mobile Banking,230,3
CBE Mobile Banking,133,1
CBE Mobile Banking,146,4
CBE Mobile Banking,235,3
CBE Mobile Banking,256,1
CBE Mobile Banking,131,4
CBE Mobile Banking,144,4
CBE Mobile Banking,102,5
CBE Mobile Banking,231,5
CBE Mobile Banking,253,1
CBE Mobile Banking,199,1
CBE Mobile Banking,169,2
CBE Mobile Banking,146,3
CBE Mobile Banking,97,1
CBE Mobile Banking,66,1
CBE Mobile Banking,157,2
CBE Mobile Banking,160,1
CBE Mobile Banking,36,1
CBE Mobile Banking,22,1
CBE Mobile Banking,48,5
CBE Mobile Banking,218,2
CBE Mobile Banking,139,1
CBE Mobile Banking,28,5
CBE Mobile Banking,33,5
CBE Mobile Banking,55,5
CBE Mobile Banking,107,3
CBE Mobile Banking,35,1
CBE Mobile Banking,204,5
CBE Mobile Banking,172,4
CBE Mobile Banking,16,5
CBE Mobile Banking,145,3
CBE Mobile Banking,172,1
CBE Mobile Banking,149,5
CBE Mobile Banking,103,1
CBE Mobile Banking,167,5
CBE Mobile Banking,204,4
CBE Mobile Banking,43,4
CBE Mobile Banking,30,5
CBE Mobile Banking,52,5
CBE Mobile Banking,18,5
CBE Mobile Banking,42,1
CBE Mobile Banking,159,3
CBE Mobile Banking,15,1
CBE Mobile Banking,19,5
CBE Mobile Banking,27,5
CBE Mobile Banking,17,5
CBE Mobile Banking,201,2
CBE Mobile Banking,29,5
CBE Mobile Banking,138,4
CBE Mobile Banking,205,1
CBE Mobile Banking,201,1
CBE Mobile Banking,26,4
CBE Mobile Banking,131,4
CBE Mobile Banking,98,5
CBE Mobile Banking,19,5
CBE Mobile Banking,20,5
CBE Mobile Banking,90,2
CBE Mobile Banking,30,2
CBE Mobile Banking,86,4
CBE Mobile Banking,26,5
CBE Mobile Banking,52,1
CBE Mobile Banking,21,5
CBE Mobile Banking,25,1
CBE Mobile Banking,51,5
CBE Mobile Banking,14,5
CBE Mobile Banking,25,1
CBE Mobile Banking,28,4
CBE Mobile Banking,34,5
CBE Mobile Banking,36,5
CBE Mobile Banking,35,5
CBE Mobile Banking,128,1
CBE Mobile Banking,23,5
CBE Mobile Banking,37,4
CBE Mobile Banking,38,5
CBE Mobile Banking,20,5
CBE Mobile Banking,18,5
CBE Mobile Banking,25,5
CBE Mobile Banking,23,4
CBE Mobile Banking,50,3
CBE Mobile Banking,101,2
CBE Mobile Banking,114,1
CBE Mobile Banking,37,5
CBE Mobile Banking,32,5
CBE Mobile Banking,13,5
CBE Mobile Banking,16,5
CBE Mobile Banking,28,5
CBE Mobile Banking,131,1
CBE Mobile Banking,27,1
CBE Mobile Banking,41,1
CBE Mobile Banking,107,3
CBE Mobile Banking,165,1
CBE Mobile Banking,37,1
CBE Mobile Banking,72,1
CBE Mobile Banking,173,5
CBE Mobile Banking,68,5
CBE Mobile Banking,59,1
CBE Mobile Banking,75,5
CBE Mobile Banking,48,4
CBE Mobile Banking,47,2
CBE Mobile Banking,40,2
CBE Mobile Banking,20,5
CBE Mobile Banking,33,5
CBE Mobile Banking,67,5
CBE Mobile Banking,78,1
CBE Mobile Banking,83,2
CBE Mobile Banking,23,4
CBE Mobile Banking,25,5
CBE Mobile Banking,52,5
CBE Mobile Banking,76,5
CBE Mobile Banking,58,5
CBE Mobile Banking,34,5
CBE Mobile Banking,67,2
CBE Mobile Banking,83,4
CBE Mobile Banking,36,2
CBE Mobile Banking,38,5
CBE Mobile Banking,70,3
CBE Mobile Banking,47,5
CBE Mobile Banking,25,5
CBE Mobile Banking,42,2
CBE Mobile Banking,25,5
CBE Mobile Banking,30,1
CBE Mobile Banking,22,5
CBE Mobile Banking,21,4
CBE Mobile Banking,24,1
CBE Mobile Banking,37,5
CBE Mobile Banking,60,1
CBE Mobile Banking,86,5
CBE Mobile Banking,178,4
CBE Mobile Banking,28,5
CBE Mobile Banking,90,1
CBE Mobile Banking,183,1
CBE Mobile Banking,16,1
CBE Mobile Banking,160,4
CBE Mobile Banking,132,3
CBE Mobile Banking,111,4
CBE Mobile Banking,15,5
CBE Mobile Banking,201,5
CBE Mobile Banking,107,4
CBE Mobile Banking,187,5
CBE Mobile Banking,176,5
CBE Mobile Banking,19,5
CBE Mobile Banking,137,3
CBE Mobile Banking,90,5
CBE Mobile Banking,16,1
CBE Mobile Banking,15,5
CBE Mobile Banking,147,5
CBE Mobile Banking,121,4
CBE Mobile Banking,97,2
CBE Mobile Banking,91,4
CBE Mobile Banking,498,1
CBE Mobile Banking,130,2
CBE Mobile Banking,124,3
CBE Mobile Banking,173,5
CBE Mobile Banking,186,1
CBE Mobile Banking,132,1
CBE Mobile Banking,202,1
CBE Mobile Banking,108,5
CBE Mobile Banking,141,5
CBE Mobile Banking,95,5
CBE Mobile Banking,123,5
CBE Mobile Banking,27,5
CBE Mobile Banking,87,5
CBE Mobile Banking,149,1
CBE Mobile Banking,146,3
CBE Mobile Banking,114,5
CBE Mobile Banking,138,1
CBE Mobile Banking,152,1
CBE Mobile Banking,108,1
CBE Mobile Banking,121,1
CBE Mobile Banking,120,4
CBE Mobile Banking,128,2
CBE Mobile Banking,123,4
CBE Mobile Banking,157,1
CBE Mobile Banking,135,1
CBE Mobile Banking,84,1
CBE Mobile Banking,170,4
CBE Mobile Banking,126,1
CBE Mobile Banking,124,5
CBE Mobile Banking,115,5
CBE Mobile Banking,165,4
CBE Mobile Banking,94,1
CBE Mobile Banking,121,4
CBE Mobile Banking,114,4
CBE Mobile Banking,120,3
CBE Mobile Banking,119,5
CBE Mobile Banking,152,5
CBE Mobile Banking,197,1
CBE Mobile Banking,89,5
CBE Mobile Banking,169,4
CBE Mobile Banking,116,4
CBE Mobile Banking,123,1
CBE Mobile Banking,153,1
CBE Mobile Banking,173,1
CBE Mobile Banking,214,1
CBE Mobile Banking,224,1
CBE Mobile Banking,130,5
CBE Mobile Banking,159,4
CBE Mobile Banking,121,5
CBE Mobile Banking,75,5
CBE Mobile Banking,140,5
CBE Mobile Banking,119,5
CBE Mobile Banking,200,1
CBE Mobile Banking,114,4
CBE Mobile Banking,123,2
CBE Mobile Banking,134,1
CBE Mobile Banking,185,1
CBE Mobile Banking,103,5
CBE Mobile Banking,94,1
CBE Mobile Banking,139,2
CBE Mobile Banking,148,5
CBE Mobile Banking,104,3
CBE Mobile Banking,313,1
CBE Mobile Banking,152,4
CBE Mobile Banking,166,3
CBE Mobile Banking,148,1
CBE Mobile Banking,157,3
CBE Mobile Banking,160,1
CBE Mobile Banking,116,1
CBE Mobile Banking,117,2
CBE Mobile Banking,139,3
CBE Mobile Banking,148,2
CBE Mobile Banking,89,4
CBE Mobile Banking,199,1
CBE Mobile Banking,145,3
CBE Mobile Banking,108,5
CBE Mobile Banking,117,1
CBE Mobile Banking,120,4
CBE Mobile Banking,114,1
CBE Mobile Banking,114,4
CBE Mobile Banking,175,5
CBE Mobile Banking,91,2
CBE Mobile Banking,109,5
CBE Mobile Banking,175,1
CBE Mobile Banking,141,3
CBE Mobile Banking,136,1
CBE Mobile Banking,190,5
CBE Mobile Banking,143,1
CBE Mobile Banking,126,1
CBE Mobile Banking,179,3
CBE Mobile Banking,143,2
CBE Mobile Banking,44,5
CBE Mobile Banking,177,3
CBE Mobile Banking,157,5
CBE Mobile Banking,117,4
CBE Mobile Banking,240,2
CBE Mobile Banking,111,3
CBE Mobile Banking,264,3
CBE Mobile Banking,150,5
CBE Mobile Banking,98,5
CBE Mobile Banking,122,5
CBE Mobile Banking,104,4
CBE Mobile Banking,133,1
CBE Mobile Banking,108,1
CBE Mobile Banking,162,5
CBE Mobile Banking,476,1
CBE Mobile Banking,28,1
CBE Mobile Banking,82,3
CBE Mobile Banking,188,5
CBE Mobile Banking,180,5
CBE Mobile Banking,149,3
CBE Mobile Banking,26,5
CBE Mobile Banking,384,5
CBE Mobile Banking,87,1
CBE Mobile Banking,103,5
CBE Mobile Banking,19,1
CBE Mobile Banking,28,5
CBE Mobile Banking,20,5
CBE Mobile Banking,18,5
CBE Mobile Banking,17,5
CBE Mobile Banking,153,3
CBE Mobile Banking,17,5
CBE Mobile Banking,38,3
CBE Mobile Banking,106,2
CBE Mobile Banking,12,1
CBE Mobile Banking,484,1
CBE Mobile Banking,92,5
CBE Mobile Banking,80,2
CBE Mobile Banking,65,1
CBE Mobile Banking,120,3
CBE Mobile Banking,95,1
CBE Mobile Banking,62,5
CBE Mobile Banking,27,1
CBE Mobile Banking,88,3
CBE Mobile Banking,105,5
CBE Mobile Banking,237,1
CBE Mobile Banking,321,1
CBE Mobile Banking,111,1
CBE Mobile Banking,101,1
CBE Mobile Banking,104,4
CBE Mobile Banking,90,5
CBE Mobile Banking,132,3
CBE Mobile Banking,16,5
CBE Mobile Banking,54,1
CBE Mobile Banking,149,1
CBE Mobile Banking,122,4
CBE Mobile Banking,130,2
CBE Mobile Banking,25,1
CBE Mobile Banking,38,3
CBE Mobile Banking,118,5
CBE Mobile Banking,140,1
CBE Mobile Banking,14,5
CBE Mobile Banking,25,1
CBE Mobile Banking,13,5
CBE Mobile Banking,22,5
CBE Mobile Banking,10,5
CBE Mobile Banking,173,1
CBE Mobile Banking,31,5
CBE Mobile Banking,100,1
CBE Mobile Banking,143,5
CBE Mobile Banking,106,5
CBE Mobile Banking,128,3
CBE Mobile Banking,129,1
CBE Mobile Banking,18,5
CBE Mobile Banking,18,5
CBE Mobile Banking,21,3
CBE Mobile Banking,157,3
CBE Mobile Banking,100,5
CBE Mobile Banking,74,5
CBE Mobile Banking,112,5
CBE Mobile Banking,114,5
CBE Mobile Banking,113,1
CBE Mobile Banking,99,5
CBE Mobile Banking,80,5
CBE Mobile Banking,83,5
CBE Mobile Banking,44,1
CBE Mobile Banking,52,4
CBE Mobile Banking,67,5
CBE Mobile Banking,44,5
CBE Mobile Banking,106,5
CBE Mobile Banking,32,5
CBE Mobile Banking,121,1
CBE Mobile Banking,16,4
CBE Mobile Banking,14,5
CBE Mobile Banking,12,5
CBE Mobile Banking,103,1
CBE Mobile Banking,107,5
CBE Mobile Banking,118,1
CBE Mobile Banking,122,2
CBE Mobile Banking,143,5
CBE Mobile Banking,98,1
CBE Mobile Banking,133,3
CBE Mobile Banking,63,1
CBE Mobile Banking,101,1
CBE Mobile Banking,77,5
CBE Mobile Banking,120,5
CBE Mobile Banking,209,1
CBE Mobile Banking,130,2
CBE Mobile Banking,112,1
CBE Mobile Banking,46,5
CBE Mobile Banking,125,2
CBE Mobile Banking,83,1
CBE Mobile Banking,95,3
CBE Mobile Banking,82,1
CBE Mobile Banking,113,5
CBE Mobile Banking,62,1
CBE Mobile Banking,78,5
CBE Mobile Banking,115,1
CBE Mobile Banking,117,5
CBE Mobile Banking,77,5
CBE Mobile Banking,312,5
CBE Mobile Banking,126,1
CBE Mobile Banking,126,1
CBE Mobile Banking,119,4
CBE Mobile Banking,115,5
CBE Mobile Banking,69,5
CBE Mobile Banking,78,1
CBE Mobile Banking,142,4
CBE Mobile Banking,102,1
CBE Mobile Banking,85,1
CBE Mobile Banking,94,5
CBE Mobile Banking,114,2
CBE Mobile Banking,167,1
CBE Mobile Banking,89,1
CBE Mobile Banking,72,5
CBE Mobile Banking,122,5
CBE Mobile Banking,102,5
CBE Mobile Banking,162,1
CBE Mobile Banking,64,1
